TIPO,OBSERVACION
Libre,"Se recomienda llevar agua,bloqueador solar, gorra,calzado comodo y ropa impermeable"
Libre,"Se recomienda llevar agua,bloqueador solar, gorra,calzado comodo y ropa impermeable"
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","S/.3.00, para público en general."
Semi-restringido(previo permiso),"Para el ingreso es necesario solicitar el permiso al ecónomo Alberto Luna ( celular : 926593654) o al Sr. Andres Yepes, presidente de la comunidad ;celular : 916873435"
Semi-restringido(previo permiso),"Solicitar permiso a la CAU Maria Parado de Bellido. N° Celular: +51 944729776 (Atiende Emiliano Félix, también utiliza whatsapp)"
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Ticket general adulto S/. 8,00, especial-peruano (60 año) S/. 4,00, joven viajero (Estudiantes) s/. 4,00, niños S/. 3,00."
NA,NA
Libre,Previa autorización al responsable del Templo( Segunda Gutierrez Olida al celular 957529788)
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
Semi-restringido(previo permiso),"Coordinar con el Presidente de la Comunidad; Basilio Supo Parillo, cel. 951664881"
NA,NA
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",#Entrada general S/. 3.00 Soles
Semi-restringido(previo permiso),Es necesario contar con la compañía de un orientador local para la visita. Los podemos ubicar en centro poblado de Consuelo y la municipalidad de Pucayacu. 927702325
Libre,
Libre,
Libre,
Libre,
NA,NA
Semi-restringido(previo permiso),Previa autorización de la Dirección Desconcentrada de Cultura de Apurímac
Libre,
Libre,
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Semi-restringido(previo permiso),Extranjero: Previo pago de S/.65.000 al Parque Nacional Huascarán para la permanencia o ingreso al PNH por 21 días. Nacional S/5.00
Libre,
Libre,"Llevar medidas de protección solar, ropa cómoda para caminar."
NA,NA
Libre,Recomendable visitar entre las 9.00 am a 17.00 horas
Libre,9:00am a 3:00pm
Libre,Ingreso de 9:00 am a 3:00pm
Libre,de 9 am a 5pm
Libre,de 9 am a 5 pm
Libre,de 9 am a 5pm
Libre,de 9 am a 5 pm
Libre,"Horarios: 9.00 am a 6.00 pm temporadas de primavera, verano (setiembre - abril) y 9.00 a 5.00 pm Temporadas de otoño, invierno (mayo-setiembre)"
Libre,9:00am a 5:00pm
Libre,
Libre,
Libre,
NA,NA
Libre,
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,Atención de lunes a domingo desde las 8:00 a.m. hasta las 5 p.m.
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Ponerse en contacto con la Asociación de Conservación Aguajales y Renacales del Rio Romero – ACARR, al celular: 916 999 209 / 964 779 537"
Libre,
NA,NA
Libre,
NA,NA
Libre,
Semi-restringido(previo permiso),Solicitar autorización al responsable de la Iglesia Matriz del Tingo. José Eudecio Sánchez López (Catequista) al 948772412
Libre,
NA,NA
Libre,
NA,NA
Libre,
Libre,No se controla el ingreso
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa Adultos: 5 soles Niños: 2 soles
Semi-restringido(previo permiso),"Coordinar con la Sra Ruth Cutipa Cel. 901 178 104 ó Luz Marina Sotomayor Cel. 900 843 138, ya que se realizan pagos dependiendo la actividad, Visita, Exposicion, Noche Cultural, u otros"
NA,NA
NA,NA
Libre,
Semi-restringido(previo permiso),Coordinar la visita con la Sociedad de Beneficencia de Yauli La Oroya - Cel. 958688045
Libre#Semi-restringido(previo permiso),En horarios de culto#Fray Franklin Peña/ 084221051/ 985219781
NA,NA
NA,NA
Semi-restringido(previo permiso),"Comunicarse previamente con el artista Leo Hilario, cel. 979264226."
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Libre",Incluido en el BTG Extranjero adulto: S/ 130 Ext. estudiante: S/ 70 Nacional adulto: S/ 70 Nac. estudiante: S/ 40#Cusqueños y residentes previa presentación de DNI
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adultos Extranjeros y Nacionales S/. 5.00, Locales S/.2.00 y Niños S/.1.00."
Libre,
Libre,
Libre,
Libre,
Libre,No se cobra entrada de ingreso
NA,NA
Libre,
Libre,
Libre,
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",General: S/. 2.00
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),"Coordinar con el propietario Manuel Navarro Ramírez, teléfono +51 959 444 594"
Libre,
Libre,
NA,NA
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa de cueva S/5.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","La entrada al recurso pagan Adultos: s/ 3 soles, Ñiños y adultos: s/ 1.00 para las tomas fotográficas en el recurso."
Libre,No existen restricciones.
Libre,Es recomendable solicitar a la autoridad del centro poblado de Villa Aurora la designación de un poblador que actúe como guía durante el recorrido.
NA,NA
Libre,
NA,NA
Libre,
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso),Previa Reserva al celular Nro° 999102293
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)#Libre","Adultos: S/. 5.00, niños y niños S/. 2.00#Para los lugareños de lo zona."
Libre,
Libre,No requiere permisos
Libre,Siempre con orientador local.
Libre,Se ingresa por una vía de trocha carrozable o sendero.
NA,NA
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Ticket general adulto S/. 5,00, especial-peruano (60 año) S/. 3,00, joven viajero (Estudiantes) s/. 3,00, niños S/. 1,00, 1er domingp de cada mes ingreso libre"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada en General: S/. 15.00 / Niños de 5 a 12 años: S/. 5.00 / Adolescentes de 13 a 17 años: S/. 10.00 / Estudiantes: S/. 10.00 / Adulto Mayor: S/. 10.00
Libre,
Libre#Semi-restringido(previo permiso),"#Los centros de estudios inicial, primaria secundaria, institutos superios, universitarios, remiten previo solicitud de ingreso al recurso, dirigido al señor Alcalde de la comuna."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto : S/. 10.00 nuevos soles / Niños : S/. 5.00 nuevos soles / Extranjero : S/. 20.00 nuevos soles
NA,NA
NA,NA
Semi-restringido(previo permiso),Previo permiso a la Municipalidad de Pacobamba
Libre,Observacion externa desde Jr. Próspero Nº 401-437 Esq. Jr. Morona Nº 181-199 (Casa Cohen 1905)
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Extranjeros S/. 20.00 / estudiantes extranjero S/. 10.00 Nacionales S/. 10.00 y estudiantes nacionales S/. 5.00
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Con previa autorización del personal de seguridad o al número 959 703 756
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa general: 5.00 soles
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa: Turista nacional: S/ 3.00 Turista Extranjero: S/ 5.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Pozas privadas Adulto S/. 8.00 soles Piscinas al aire libre Adulto S/. 5.00 soles. Niño S/. 2.00 soles El boleto de ingreso turista nacional o visitante local, es el mismo precio."
Semi-restringido(previo permiso),"El acceso al recurso se realiza con el previo permiso del presidente de la comunidad, señor Francisco Paricahua Kana (Cel. 953742229)."
Semi-restringido(previo permiso),"El párroco encargado del Templo es Eduardo Adelman con número de teléfono 975078108, siendo su ecónomo el Sr. Benancio Mamani Quispe, del centro poblado con teléfono 984511142"
Libre,Lunes a Sábado de 10:30 am a 07:30 pm
Semi-restringido(previo permiso),"Se coordina con el mayordomo, que son cuidantes y administradores del templo, los mismo que son elegidos por la comunidad. Sr. Emeterio Amanca Arqque Cel. 995708479"
Libre,
NA,NA
Libre,
Semi-restringido(previo permiso),Solo ingresan masones (integrantes) de la Logia Unión Amazónica al interior de las instalaciones
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,"Luego de visitar los recursos turísticos de Pueblos de los Muertos y Sitio a Arqueológico de Lengache, se hace una pequeña parada en el Mirador de Lámud Urco para tomas fotográficas del paisaje."
Libre,
Libre,
Libre,
Libre,Atención de lunes a domingo
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
Libre,
Libre,Horarios recomendado: 9 am a 5 pm
Libre,Previa coordinación con las autoridades de la comunidad
NA,NA
Libre,Previa coordinación para el guiado
Libre,Previa coordinación con la comunidad
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,Previa coordinación con la autoridada comunal
Libre,"Previa coordinación con la comunidad, por temas de seguridad"
NA,NA
NA,NA
Semi-restringido(previo permiso),Previo permiso de la Municipalidad Provincial de Huanta. Contacto 927421873 .
Libre,
NA,NA
NA,NA
Libre,
NA,NA
Libre,
NA,NA
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Niños de 0 a 6 años: Gratis / Niños de 07 a 12 años: S/. 5.00 / Adulto de 13 años y más: S/. 10.00
Libre,
Libre,Horarios Recomendados : 8:00am a 5:00 pm
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso),"Previa coordinación con el Sr. Edgar Quispe Zapata, cel. 974583282"
NA,NA
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo general S/. 3.00
NA,NA
NA,NA
Libre,
Libre,
Libre,Previa coordinación con la comunidad
NA,NA
NA,NA
Libre,Se pueden apreciar desde la vía publica.
Libre,Se recomienda ir con personas conocedoras de la zona
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Costo de ingreso por un día. •Extranjero: s/. 30.00. •Nacional: Adultos s/. 15.00, Niños de 5 a 17 años: S/. 5.00 • Local: Adultos s/. 5.00 y niños de 5 a 17 años: S/. 3.00"
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: S/ 3.00
Libre,Todo el año
NA,NA
Libre,
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",#Esta incluido dentro del Boleto turístico del Colca: Extranjeros S/. 70.00; Nacionales S/. 20.00 y Estudiantes S/. 5.00
Libre,
Libre,La capacidad máxima del puente es de 5 personas
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos: S/. 4.00 Estudiantes: S/. 3.00 Adulto mayor: S/. 2.00 Niños: S/. 1.00 Guiado: S/. 2.00
Libre,
Libre,
Libre,
Libre,
NA,NA
Libre,
Libre,
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Semi-restringido(previo permiso),Previo pago al PNH de S/.65.00 por 21 días de ingreso a los recursos o permanencia dentro del PNH
Libre,
NA,NA
Libre,
NA,NA
Libre,
Libre,
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,"Coordinaciones con el presidente de Parcialidad; Sr. Elmer Mamani Butron, cel. 928191002"
Libre,todo el dia
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Niños S/1.00, Adultos locales S/2.00, General S/4.00"
Semi-restringido(previo permiso),Previa comunicación con el señor Teodoro cel: 966945412
Libre,LLevar protección solar
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto nacional: S/12.00 Adulto local, niño nacional: S/5.00 (5 a 16 años) Niño local: S/3.00 Extranjeros: S/30.00"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa única: S/ 10.00
Libre,9:00 a 12:30 / 13:30 - 18:30
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto nacional: S/12.00 Adulto local, niño nacional: S/5.00 (5 a 16 años) Niño local: S/3.00 Extranjeros: S/30.00"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Adulto nacional: S/12.00 Adulto local, niño nacional: S/5.00 (5 a 16 años) Niño local: S/3.00 Extranjeros: S/30.00"
NA,NA
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Pago de S/.65.00 nuevos soles al PNH para 30 días de permanencia. Extranjero S/. 30.00 Nacional S/.15.00 Local S/. 5.00
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Extranjero S/. 30.00 Nacional S/ 15.00 Local S/. 5.00
NA,NA
Otros (especificar),"En la entrada al Centro Poblado de Chavín, la comunidad cobra S/. 5.00 por vehículo"
Libre,
Libre,
NA,NA
Libre,
Libre,
Semi-restringido(previo permiso),"Coordinación con la Municipalidad Distrital de Mangas, Comunidad Campesinas de Mangas o Parroquia San Francisco de Mangas al teléfono 978090809 o al Correo Electrónico municipalidaddemangas1@gmail.co"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada general entre nacionales, extranjeros y niños: Piscina S/3.00; Poza individual S/5.00; Poza familiar S/6.00 y Poza rústica S/7.00."
Libre,Carretera Carhuaz - Asunción
Semi-restringido(previo permiso),"La tarifa de ingreso al Nevado Mateo, al estar ubicado dentro del Parque Nacional Huascarán, es de S/ 30.00 soles por persona para turistas nacionales y extranjeros"
NA,NA
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto S/. 2.00 Niño S/1.00
NA,NA
NA,NA
Libre,
NA,NA
Libre,
Libre,
NA,NA
Libre,
Libre,
Libre,
Libre,de preferencia en los meses de abril a noviembre
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso),Coordinar con el Sr. Marco Franco Montoya celular +51 953 920 481 o con el Sr. Luis Franco Montoya celular +51 938 804 163
Semi-restringido(previo permiso),Coordinación con el propietario al celular: 958684315 (Jesús García )
Semi-restringido(previo permiso),Coordinación con la encargada al celular: 959727772 (Guadalupe Solari)
Semi-restringido(previo permiso),Coordinación con el propietario al celular: 995665482 (Mariano Pisfil)
Libre,
Libre,Se encuentra una garita de seguridad al ingreso por parte de la Municipalidad distrital de Ventanilla
Semi-restringido(previo permiso),"Preferentemente, coordinar la visita al correo torresdelagala@yahoo.es o ingresar directamente a la bodega y dar conocimiento."
Semi-restringido(previo permiso),Coordinación previa con el Gerente de la Bodega Pisco Camaná. Celular: 958950905
Semi-restringido(previo permiso),Coordinación con el propietario al celular:991807267 (Cesar Uyen)
Semi-restringido(previo permiso),Coordinación con el propietario al celular: 959742080 (Marco Zuñiga)
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Boletas nacionales, ruta corta menores S/. 5.00, mayores S/. 10.00; ruta larga, menores S/. 10.00 y mayores S/. 30.00 Boletas extranjeros, ruta corta, menores S/. 10.00, mayores S/. 20.00"
Libre,
NA,NA
NA,NA
Semi-restringido(previo permiso)#Otros (especificar),"El ingreso al área de ventas es libre, Ruta 1 costo general S/7.00. Ruta 2: costo general S/15.00. Niños hasta 5 años ingresan libre. Reserva: 945750905 Jorge Moreno - email: pasikiwichacra@gmail.com#Taller de elaboración de chocolate artesanal y crianza de abejas tiene un costo general de S/30.00 a partir de 2 personas a más."
Libre,La Reserva de Biosfera Oxapampa-Asháninka-Yánesha en la ciudad de Oxapampa.
Libre,Se recomienda visitar el recurso turístico a partir de las 8 am hasta las 9 pm.
NA,NA
NA,NA
Libre,
Libre,No cuenta con boletería.
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/ 10.00 y Niños S/ 5.00
Libre,
NA,NA
Libre,Zona pública disponible todos los días las 24 horas
Libre,Parque Principal
NA,NA
NA,NA
Libre,"Llevar bloqueador solar, bebidas hidratantes y refrigerio."
NA,NA
Libre,Llevar gorro y bebidas hidratantes.
Libre,"Llevar su protector solar, gorro y/o sombrero."
Libre,
Libre,"Llevar bloqueador solar, bebidas hidratantes, refrigerio y carpa."
Libre,"Llevar gorra, sombrero y/o bloqueador solar."
Libre,
Libre,todo el año
Libre,
Libre,
Libre,
NA,NA
NA,NA
Libre,
Libre,
Libre,
Otros (especificar),Costo de ingreso es de 3.00 soles. pero no cuentan con registro. El señor este año se compromete a entregar un ticket por el cobro.
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general S/ 2.00 soles para turista nacional. Los visitantes locales están exonerados de pago.
Libre,"todo el año / Se recomienda llevar ropa ligera, bloqueador solar, traje de baño y gorra"
Libre,todo el año
NA,NA
Libre,Todo el año
NA,NA
Libre,
Libre,
Libre,
NA,NA
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Libre,
NA,NA
Libre,
Libre,
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),Reservas Sotelo - 947161723
Libre,
Libre,
Libre,Ninguno
Libre,
Libre,
Libre,
NA,NA
Libre,Se invita a registrarse en el cuaderno de registro en la Municipalidad Distrital de Masma Chicche.
Libre,Se encuentra entre la primera playa (Margaritas) y segunda playa de Mejía
Libre,
Libre,
Libre,8 a.m.-5p.m.
Libre,
Libre,El acceso es libre
Libre,
Libre,El acceso a la comunidad es libre
Libre,
Libre,
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Extranjero S/30.00 Nacional S/15.00 Adulto regional S/11.00 Niño regional S/5.00 Adulto local S/8.00 Niño local S/3.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/ 3.00 Estudiantes Superior S/2.00 Estudiantes Básica Regular S/ 1.00
Semi-restringido(previo permiso),Coordinación con el área administrativa 990993049
Libre,
Libre,
NA,NA
Libre,
Libre,
NA,NA
Libre,
Semi-restringido(previo permiso),"Coordinación para realización de visita, con el posesionario Sr. Raymundo Jaen Cel: 962744733"
Semi-restringido(previo permiso),"Previa coordinación con la Sra. América Vargas Beltrán al cel. 959796979, encargada de la empresa Pampa Hermosa Lake Resort S.R.L."
Libre,
Libre,
Libre,
NA,NA
Libre,"Es un lugar alejado de la ciudad, aún no hay ningún tipo de infraestructura ni instalaciones como servicios higiénicos, estacionamiento, casetas de seguridad u otro."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/ 10.00 Soles y Niños S/ 5.00 Soles
NA,NA
Libre,
Libre,"Para acceder a nadar con las tortugas, el precio es de 50 soles aprox. Se recomienda, llevar bloqueador solar, lentes de sol, gorro o sombrero y ropa ligera."
Libre,
Libre,
Libre,
Semi-restringido(previo permiso),"Se puede ingresar previa coordinación con el encargado Percy López (996742060), también en los horarios de misa y fiestas patronales."
Libre,
Libre,
Semi-restringido(previo permiso),Cuando hay misas y procesiones. En caso deseen ingresar en otro momento es previo aviso a la sacristía que se encuentra ubicado al costado del templo
NA,NA
Libre,
Libre,
Libre,La visita es previa coordinación con las autoridades comunales para información.
Libre,No existen restricciones
Libre,En algunas ocasiones se pide permiso a la Municipalidad Distrital de Luricocha y a las autoridades locales.
NA,NA
NA,NA
Libre,
Libre,
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
Libre,
NA,NA
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Administrado por la Comunidad Campesina del Caserío Las Palmeras de Yaranche. Adultos S/. 2.00 Niños y/o Estudiantes S/. 1.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Entrada general 2.00 Soles, previo pago en caja"
Libre,
Semi-restringido(previo permiso),Enviar solicitud a la Dirección General de Patrimonio Arqueológico Inmueble via mesa de partes virtual del Ministerio de Cultura. El tiempo de respuesta es normalmente 5 días útiles
NA,NA
Libre,Previa coordinacion con el parroco
Libre,Previa coordinacion con el Parroco
Semi-restringido(previo permiso),Previa autorización del responsable del templo: Pbro. César John Caparachin Villaverde (984722626)
Libre,
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adulto Extranjero S/. 30.00 soles Niño Extranjero 15.00 soles Adulto Nacional S/. 15.00 soles Niño Nacional S/. 7.50 soles
NA,NA
NA,NA
NA,NA
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifa promocional convencional: Adultos :S/ 11.00 Población adulta local: S/ 5.00 Promocional social menor, menor de 05 años a 16 años: S/. 3.00."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Costo de ingreso: niños y estudiantes S/ 3.00 - adultos S/ 5.00. Puede contactarse con el representante de la Asociación Las Maravillas de Tocache, al teléfono 932238324"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Costo general de ingreso S/ 3.00
Libre,
Libre,Es espacio libre
Libre,No se controla el ingreso
NA,NA
"Libre#Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",#El recurso es administrado por la Asociación Caracucho.
Libre,todo el año
Libre,
Libre,
Libre,
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
Libre,
Libre,"Solicitar orientación turística en la Oficina de Turismo de la Municipalidad Distrital de Mesones Muro, en el Horario de 08:00 a.m. a 12m."
Libre,
Libre,"Llevar agua, bloqueador, repelente, ropa y zapatillas para caminata larga. Se recomienda la visita al recurso por las mañanas y estar acompañado del personal de la Municipalidad."
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",
Libre,Llevar gorro y bloqueador.
Semi-restringido(previo permiso),Previo permiso con el Eclesiastés sr.Pablo Gómez Onisano. Cel: 941652515
Libre,
Libre,
NA,NA
Semi-restringido(previo permiso),"Coordinar con el señor Bartolomé, encargado de la iglesia."
NA,NA
NA,NA
NA,NA
Libre,
Semi-restringido(previo permiso),El ingreso al recurso turístico Casa de piedra es previa coordinación con el presidente actual de la comunidad de Chectuyoc Emilio Alvares Ponce. Cel: 977146339/contacto@munimarangani.gob.pe
Libre,
Semi-restringido(previo permiso),Previo permiso solicitado a la secretaría de la parroquia.
Semi-restringido(previo permiso),"Para visitar la Casa Museo, acercarse a la M.D. de Pucará, un personal capacitado guiará al visitante o llamar previamente a la Sub Gerencia de Desarrollo Social (Lic. Juan Landeo 900557902)."
NA,NA
NA,NA
NA,NA
Libre,
NA,NA
Libre,
Libre,los visitantes solo pueden apreciar la Represa desde fuero por las restricciones operativas y de seguridad establecidas por la empresa
NA,NA
NA,NA
Semi-restringido(previo permiso),Realizar coordinaciones con el Jefe del ACR (Ing. Nelson Witting. Cel. Nº 989699143)
Libre,
Semi-restringido(previo permiso),"Para su ingreso solicitar autorización al presidente de la comunidad de Chiuruco. Ya que el control esta a cargo de la minería Nexa Resources Perú. Contactos: Mendoza Garay Alejandro, N° 910 959 505"
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Poza normal:S/5.00 por persona. Poza herbal: S/12.00 por persona. Piscina adultos: S/5.00 por persona. Piscina niños: S/2.50 por persona.
NA,NA
NA,NA
Libre,"Es un espacio abierto, no requiere reserva o autorización de ingreso."
Libre,"Comunicarse con el Bosque de Protección Alto Mayo con una semana de anticipación, al teléfono 968 218 472. Se registra en el cuaderno de visitantes en el Puesto de Vigilancia y Control Venceremos."
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Extranjero S/.30.00 Nacional Adulto S/. 12.00 Niños (5 a 16 años )S/. 5.00 Nacionales (Menores de 5 años y Mayores de 65 años no pagan)
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Extranjero S/.30.00 Nacional Adulto S/. 12.00 Niños (5 a 16 años) S/. 5.00 Nacionales (Menores de 5 años y mayores de 65 años no pagan)
Semi-restringido(previo permiso),Permiso a la Municipalidad de Huari a traves del teléfono: 043 - 380365
Libre,de 9 am a 5 pm
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,Lunes - Domingo
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
NA,NA
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada General S/. 3.00
Semi-restringido(previo permiso),Coordinación con la propietario al celular: 993158690 (Rosana Valdivia)
Semi-restringido(previo permiso),Coordinación con el propietario al celular: 998894184 (Wilfredo Acapana)
Semi-restringido(previo permiso),Coordinación con el propietario al celular: 959096474 (Godofredo Reinoso)
NA,NA
NA,NA
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos S/ 5.00 - Niños S/ 2.00
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Tarifa: Adultos: S./ 5.00; Niños: S./ 3.00; Escolares: S./ 2.00
Libre,
Semi-restringido(previo permiso),"El ingreso es previo permiso. Contactándose con la Sra. Ruth Camarena, celular N° 935675714"
NA,NA
Libre,
NA,NA
NA,NA
Libre,
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","S/. 5.00 Adultos, S/. 3.00 niños"
Libre,
NA,NA
Libre,
Semi-restringido(previo permiso),"Coordinar con la jefatura del ACR-CHOQUEQUIRAO con el ING. Edwin Mansilla Ucañani , celular: 986751910"
NA,NA
Libre,
Libre,
NA,NA
Semi-restringido(previo permiso),"Previa coordinación con la Municpalidad de Kimbiri, para el ingreso a la piscigranja Comunicarse al numero 995464977"
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Entrada general: S/ 5.00. El ingreso es libre para el visitante que solo realiza el consumo de bebidas y productos regionales.
Libre,El ingreso a la Montaña Delicias Aputinya es libre.
Libre,
NA,NA
NA,NA
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Adultos : S./ 10.00 / Niños: S./ 6.00
NA,NA
Semi-restringido(previo permiso),"Previa coordinación con la Encargada del Área de Turismo de la Municipalidad distrital de San Lorenzo de Quinti :Lic. Lisbeth Nolasco Zarate, Celular:983792233"
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)",Precio Nacionales: s/25.00 Precio Extranjeros: s/50.00 Presidente de turismo Sr. Teodocio Espinoza teléfono: 939718120
NA,NA
NA,NA
Libre,
NA,NA
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
Libre,
"Previa presentación de boleto o ticket(especificar tarifa:niños, adultos, estudiantes, etc)","Tarifas: - Niños menores de 10 años no pagan - Nacionales S/. 15.00 - Extranjeros S/. 30.00 Sr. Paúl León Cueva 928844886, Comunero de la Comunidad campesina de Uramasa"
Libre,
NA,NA
